Labels	ph12anregung_350_340	
Type	Excitation Scan	
Comment		
Start	275.00	
Stop	340.00	
Step	1.00	
Fixed/Offset	350.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	1	
Dwell Time	0.50	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

275.00	1.06455017E+3	
276.00	1.05112988E+3	
277.00	1.05798364E+3	
278.00	1.01844818E+3	
279.00	1.01084436E+3	
280.00	1.06880811E+3	
281.00	1.07810754E+3	
282.00	1.05760229E+3	
283.00	9.97704834E+2	
284.00	1.00727124E+3	
285.00	9.82043274E+2	
286.00	9.01552979E+2	
287.00	9.58506348E+2	
288.00	8.62281067E+2	
289.00	8.98287109E+2	
290.00	9.05229065E+2	
291.00	9.56645996E+2	
292.00	9.21083374E+2	
293.00	1.02503027E+3	
294.00	9.81513550E+2	
295.00	9.43138367E+2	
296.00	9.01536926E+2	
297.00	8.69623108E+2	
298.00	7.96517395E+2	
299.00	7.80973938E+2	
300.00	6.88302856E+2	
301.00	7.22881348E+2	
302.00	7.46503296E+2	
303.00	7.04632935E+2	
304.00	7.27088257E+2	
305.00	7.01716919E+2	
306.00	7.73896179E+2	
307.00	7.43927185E+2	
308.00	7.88126770E+2	
309.00	8.61094055E+2	
310.00	1.19381055E+3	
311.00	2.24218994E+3	
312.00	3.79444458E+3	
313.00	4.83427979E+3	
314.00	4.74011914E+3	
315.00	3.99236108E+3	
316.00	2.79201172E+3	
317.00	1.61918274E+3	
318.00	9.37200806E+2	
319.00	6.99864319E+2	
320.00	6.35887207E+2	
321.00	5.73686890E+2	
322.00	5.79026367E+2	
323.00	6.19986389E+2	
324.00	6.25163757E+2	
325.00	6.54537903E+2	
326.00	5.88529541E+2	
327.00	6.37254395E+2	
328.00	6.03867798E+2	
329.00	5.75149475E+2	
330.00	5.81882751E+2	
331.00	5.92222534E+2	
332.00	6.21344116E+2	
333.00	5.65060242E+2	
334.00	6.13510620E+2	
335.00	5.96172852E+2	
336.00	5.87381531E+2	
337.00	5.87797974E+2	
338.00	5.88831299E+2	
339.00	5.89780273E+2	
340.00	6.04693665E+2	
